wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country,popularity_score,value_for_money,popularity_rank,value_rank,combined_rank
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France,43.079078244317614,0.001222896790980052,487.0,2050.0,1268.5
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France,43.079078244317614,0.001222896790980052,487.0,2050.0,1268.5
Saint-Julien (Grand Cru Classé),Château Léoville Las Cases Saint-Julien (Grand Cru Classé) 2007,2007,4.4,28094,4.4,724,541.6666666666666,0,France,45.07056976131977,0.008123076923076924,373.0,1284.0,828.5
Galatrona,Petrolo Galatrona 2007,2007,4.3,7971,4.5,439,413.3333333333333,0,Italie,38.62933050804007,0.010403225806451612,821.0,1124.0,972.5
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 2007,2007,4.6,33143,4.7,1564,891.6666666666667,0,Italie,47.87949933487189,0.005158878504672897,203.0,1582.0,892.5
Barbaresco,Gaja Barbaresco 2008,2008,4.5,24516,4.5,1290,626.6666666666667,0,Italie,45.4818656007253,0.007180851063829786,341.0,1380.0,860.5
Sorì San Lorenzo,Gaja Sorì San Lorenzo 2006,2006,4.6,3857,4.5,212,1223.3333333333337,0,Italie,37.98516680775785,0.003760217983651225,910.0,1764.0,1337.0
Grand Vin de Château Palmer (Grand Cru Classé),Chateau Palmer Grand Vin de Château Palmer (Grand Cru Classé) 1999,1999,4.5,29026,4.5,1132,840.0,0,France,46.24176266563639,0.005357142857142857,276.0,1562.0,919.0
Sassicaia,Tenuta San Guido Sassicaia 2008,2008,4.6,107646,4.6,4327,825.0,0,Italie,53.29837538537822,0.005575757575757575,23.0,1527.0,775.0
Messorio,Le Macchiole Messorio 2007,2007,4.5,5514,4.4,325,560.0,0,Italie,38.76770516212684,0.008035714285714285,804.0,1299.0,1051.5
Carruades de Lafite Pauillac,Château Lafite Rothschild Carruades de Lafite Pauillac 2009,2009,4.4,13866,4.4,738,915.2,0,France,41.96365834981072,0.004807692307692308,565.0,1630.0,1097.5
